Altium Designer Pick and Place Locations
C:\Users\s-fre\Github\ethGitlab\sensei-wulpus-shield\hw\wulpus_pro_acq_pcb_dev_board\Project Outputs for wulpus_pro_acq_pcb\Pick Place\Pick Place for wulpus_pro_acq(pzt_hia_no_bias).txt

========================================================================================================================
File Design Information:

Date:       27.05.26
Time:       13:31
Revision:   dac888c8aeea61f824c052da7adf19988fcd2d27
Variant:    pzt_hia_no_bias
Units used: mm

Designator Comment                   Layer       Footprint                       Center-X(mm) Center-Y(mm) Rotation Description                                                                                                                                                 
J15        U.FL-R-SMT-1(10)          TopLayer    FP-U_FL-R-SMT-1_10-MFG          -5.3129      7.8500       270      "CONN U.FL RCPT STR 50 OHM SMD"                                                                                                                             
C80        C1005X7S1A225K050BC       BottomLayer FP-C1005-050-0_15-0_1-MFG       -18.4500     -3.6250      180      C1005X7S1A225K050BC                                                                                                                                         
C79        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             -3.9750      -7.3000      90       GRM188R61H225ME11                                                                                                                                           
C78        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             -5.4500      -8.4250      90       GRM188R61H225ME11                                                                                                                                           
C77        GRM1555C1H102JA01D        BottomLayer FP-GRM155-0_05-IPC_B            -9.2500      8.6500       270      GRM1555C1H102JA01D                                                                                                                                          
C76        C0402C104K4RACTU          BottomLayer CAPC1005X55X30LL05T10           -10.8388     4.6750       90       C0402C104K4RACTU                                                                                                                                            
C75        C0402C104K4RACTU          TopLayer    CAPC1005X55X30LL05T10           -13.1000     6.6750       90       C0402C104K4RACTU                                                                                                                                            
TP7        TP-SM-C-100               TopLayer    TP-SM-C-100                     -7.9000      7.0000       90       "Test Point, Surface Mount, Circular, Pad Diameter 1 mm"                                                                                                    
TP2        TP-SM-C-100               TopLayer    TP-SM-C-100                     -4.1000      4.9000       90       "Test Point, Surface Mount, Circular, Pad Diameter 1 mm"                                                                                                    
TP1        TP-SM-C-100               TopLayer    TP-SM-C-100                     -8.1000      4.5500       0        "Test Point, Surface Mount, Circular, Pad Diameter 1 mm"                                                                                                    
C74        C1005X7S1A225K050BC       BottomLayer FP-C1005-050-0_15-0_1-MFG       -7.5250      0.4000       180      C1005X7S1A225K050BC                                                                                                                                         
C73        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -7.0000      5.0000       270      C1005X7S1A225K050BC                                                                                                                                         
C72        C1005X7S1A225K050BC       TopLayer    FP-C1005-050-0_15-0_1-MFG       -9.0000      7.9000       90       C1005X7S1A225K050BC                                                                                                                                         
TP15       TP-SM-C-100               TopLayer    TP-SM-C-100                     -30.5000     7.7000       90       "Test Point, Surface Mount, Circular, Pad Diameter 1 mm"                                                                                                    
C33        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             0.3000       -7.3500      90       GRM188R61H225ME11                                                                                                                                           
C32        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             0.0000       -5.0000      0        GRM188R61H225ME11                                                                                                                                           
C31        GRM188R61H225ME11         BottomLayer FP-GRM188-0_2-IPC_B             2.2000       9.3000       0        GRM188R61H225ME11                                                                                                                                           
